GUID b12071e30acf42458a32f2eb4b536a51
Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
ID 5001

Size_X 3
Size_Y 2
Size_Z 0.5

Sight 5202
Magazine 5102
Barrel 5402

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 10
Ammo_Max 17

Safety
Semi
Auto

Caliber 102

Range 175
Firerate 4
Action Trigger

Player_Damage 65
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 125
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 40
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 15
Vehicle_Damage 40
Resource_Damage 20

Durability 0.2

Spread_Aim 0.07
Spread_Hip 0.15

Recoil_Min_X -2
Recoil_Min_Y 2
Recoil_Max_X 2
Recoil_Max_Y 4

Recover_X 0.65
Recover_Y 0.65

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 3

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 116
Blueprint_1_Product 67
Blueprint_1_Products 5
Blueprint_1_Build 27
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 5001
Blueprint_2_Product 67
Blueprint_2_Products 5
Blueprint_2_Build 27
