GUID e3a39c0a476040d48fad9093f72b2858
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 6114

Size_X 4
Size_Y 2
Size_Z 0.4

Sight 6116

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 0
Ammo_Max 0

Safety
Semi
Auto

Caliber 238

Range 100
Firerate 10
Action Trigger

Player_Damage 85
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 99
Zombie_Leg_Multiplier 1.1
Zombie_Arm_Multiplier 1.1
Zombie_Spine_Multiplier 1.1
Zombie_Skull_Multiplier 1.2

Animal_Damage 99
Animal_Leg_Multiplier 1.1
Animal_Spine_Multiplier 1.1
Animal_Skull_Multiplier 1.2

Barricade_Damage 40
Structure_Damage 30
Vehicle_Damage 70
Resource_Damage 30

Durability 0.1

Spread_Aim 0.1
Spread_Hip 0.1

Recoil_Min_X -3
Recoil_Min_Y 15
Recoil_Max_X 3
Recoil_Max_Y 15

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 4

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 6114
Blueprint_1_Product 67
Blueprint_1_Products 4
Blueprint_1_Build 27
Blueprint_2_Type Gear
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 6112
Blueprint_2_Build 27
