GUID 506f82ef30f64c989f3d1f5eafa690f4
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 6052

Size_X 3
Size_Y 2
Size_Z 0.35

Magazine 6053
Sight 6056

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 1
Ammo_Max 5

Safety
Semi

Caliber 226

Range 150
Firerate 10
Action Trigger

Player_Damage 85
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 99
Zombie_Leg_Multiplier 1.1
Zombie_Arm_Multiplier 1.1
Zombie_Spine_Multiplier 1.1
Zombie_Skull_Multiplier 1.2

Animal_Damage 99
Animal_Leg_Multiplier 1.1
Animal_Spine_Multiplier 1.1
Animal_Skull_Multiplier 1.2

Barricade_Damage 40
Structure_Damage 30
Vehicle_Damage 70
Resource_Damage 30

Durability 0.15

Spread_Aim 0.1
Spread_Hip 0.1

Recoil_Min_X -10
Recoil_Min_Y 16
Recoil_Max_X 10
Recoil_Max_Y 20

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 6052
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
