GUID 086abcca8204405a9ab4261ae2e5a461
Rarity Rare
Type Gun
Useable Gun
Slot Primary
ID 18008

Size_X 4
Size_Y 2
Size_Z 0.55

Magazine 18009

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 10
Ammo_Max 30

Safety
Semi
Auto

Caliber 18007

Range 200
Firerate 4
Action Trigger

Player_Damage 87
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 0.7
Player_Skull_Multiplier 1.1

Zombie_Damage 87
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 1.5
Zombie_Skull_Multiplier 2.0

Animal_Damage 87
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 0.7
Animal_Skull_Multiplier 1.1

Barricade_Damage 45
Structure_Damage 35
Vehicle_Damage 40
Resource_Damage 20

Durability 0.08

Spread_Aim 0.1
Spread_Hip 0.2

Recoil_Min_X 1	
Recoil_Min_Y 2.5
Recoil_Max_X 2
Recoil_Max_Y 3.5

Recover_X 0.7
Recover_Y 0.5

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 18008
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
Bypass_Hash_Verification
