GUID 9af5cb5d6f2e4eec997d6692bc74fda5
Type Gun
Useable Gun
Slot Secondary
ID 18024

Size_X 2
Size_Y 2
Size_Z 0.55

Magazine 18026
Barrel 18025

Hook_Tactical
Hook_Barrel
Hook_Grip

Ammo_Min 15
Ammo_Max 30

Safety
Semi
Auto

Caliber 116

Range 80
Firerate 2
Action Trigger

Player_Damage 45
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.7
Player_Skull_Multiplier 1.0

Zombie_Damage 45
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.0

Animal_Damage 45
Animal_Leg_Multiplier 0.4
Animal_Spine_Multiplier 0.7
Animal_Skull_Multiplier 1.0

Barricade_Damage 7
Structure_Damage 7
Vehicle_Damage 7
Resource_Damage 5

Durability 0.3

Spread_Aim 0.1
Spread_Hip 0.3

Recoil_Min_X -1
Recoil_Min_Y 2.5
Recoil_Max_X -0.5
Recoil_Max_Y 3.5

Recover_X 0.2
Recover_Y 0.4

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.075

Muzzle 3

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Bypass_Hash_Verification
