GUID e5bf84ecef9a469db8388ce4413c3377
Type Magazine
Rarity Legendary
ID 4961

Size_X 1
Size_Y 2
Size_Z 0.3

Amount 24
Count_Min 2
Count_Max 28

Calibers 1
Caliber_0 60

Tracer 48

Blueprints 3
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 43
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 6
Blueprint_1_Build 30
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 17
Blueprint_2_Build 30

Paintable

Asset_Bundle_Version 2
