GUID ad922deaaeaf46cab57e32a0a47e6cee
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 4989

Size_X 4
Size_Y 2
Size_Z 0.45
Size2_Z 0.73

Sight 1367
Magazine 4990

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 9

Safety
Semi
Auto

Caliber 70

Range 17.5
Firerate 10
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 3

Zombie_Damage 50
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 55
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 60
Structure_Damage 60
Vehicle_Damage 60
Resource_Damage 60
Object_Damage 60

Durability 0.15

Spread_Aim 0.500
Spread_Hip 0.75

Ballistic_Steps 1
Ballistic_Travel 15

Recoil_Min_X -5
Recoil_Min_Y 35
Recoil_Max_X 5
Recoil_Max_Y 50

Recover_X 0.25
Recover_Y 0.25

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4
Shell 33

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 4989
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
