GUID d3eba2bb67474eae9641c159f1aece31
Type Gun
Rarity Uncommon
Useable Gun
Slot Primary
ID 15064

Size_X 4
Size_Y 2
Size_Z 0.4

Sight 15364
Magazine 15161

Hook_Sight
Hook_Barrel

Ammo_Min 5
Ammo_Max 10

Safety
Semi

Caliber 59

Range 350
Firerate 1
Action Trigger

Player_Damage 70
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.4

Zombie_Damage 99
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 2

Animal_Damage 70
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 2.5

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 15

Durability 0.2

Spread_Aim 0.019
Spread_Hip 0.1

Recoil_Min_X 0.4
Recoil_Min_Y 2
Recoil_Max_X 1.2
Recoil_Max_Y 3

Recover_X 0.4
Recover_Y 0.4

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 15064
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
